Name,Final Grade [Total Pts: 0 Text] |1781927,Weighted Total [Total Pts: up to 255 Percentage] |1753510,Assignment-3_Grid,Assignment-03_CS,Assignment-4_Balloon,Assignment-04_CS,Assignment-5_Solar,Assignment-05_CS,Assignment-7_DrawingBoard,Assignment-07_CS,Assignment-8_BouncingBall,Assignment-08_CS,Assignment-9_Record,Assignment-09_CS,Assignment-10_Javadoc,Assignment-10_CS,Assignment-11_Junit,Assignment-11_CS,Assignment-12_Counter,Assignment-12_CS,Assignment-13_OmokGUI,Assignment-13_CS,Assignment-14_MouseEvent,Assignment-14_CS,Assignment-15_JavaChatUI,Assignment-15_CS,Assignment-16_FactoryMethod,Assignment-16_CS,Assignment-17_Generalization,Assignment-17_CS,Assignment-18_OmokInfo,Assignment-18_CS,Assignment-19_JavaChat,Assignment-19_CS,Homework-4_GUIAPP,Homework-4_CS
Student-1,B,86.36142,10,,10,,10,,10,,9,,10,,10,,0,,10,,8,,10,,0,,9,,0,,10,,8,,98,
Student-2,C,63.24607,10,,0,,0,,6,,0,,9,,0,,7,,10,,8,,10,,8,,9,,0,,10,,10,,86,
Student-3,A,92.13803,9,,10,,10,,10,,10,,10,,10,,10,,10,,10,,9,,10,,10,,10,,10,,10,,98,
Student-4,C,65.38839,0,,0,,0,,0,,0,,9,,8,,10,,3,,8,,10,,6,,10,,8,,8,,8,,70,
Student-5,B,85.105,10,,0,,0,,6,,0,,10,,0,,10,,10,,10,,10,,6,,11,,0,,7,,10,,97,
Student-6,A,99.52982,10,,0,,10,,10,,0,,0,,10,,2,,10,,8,,10,,10,,0,,10,,10,,10,,100,
Student-7,B,80.59089,10,,10,,10,,10,,10,,9,,10,,10,,10,,8,,8,,5,,11,,8,,10,,10,,80,
Student-8,D,54.23589,0,,10,,7,,10,,0,,0,,0,,0,,0,,6,,0,,8,,0,,0,,0,,0,,73,
Student-9,A,87.44857,10,,10,,10,,10,,9,,0,,10,,5,,10,,10,,10,,10,,11,,8,,10,,10,,85,
Student-10,B,77.90571,9,,10,,10,,0,,10,,0,,0,,10,,10,,0,,10,,10,,11,,10,,10,,10,,95,
Student-11,A,102.4991,9,,10,,10,,10,,6,,0,,10,,10,,10,,10,,10,,10,,11,,10,,10,,10,,100,
Student-12,B,82.36375,0,,10,,10,,0,,10,,10,,0,,10,,10,,8,,10,,0,,11,,10,,0,,0,,96,
Student-13,A,99.07892,10,,10,,10,,10,,10,,10,,8,,10,,10,,6,,10,,0,,11,,0,,10,,10,,98,
Student-14,C,68.16571,0,,0,,0,,0,,0,,0,,10,,8,,10,,8,,10,,6,,9,,10,,10,,10,,74,
Student-15,F,14.825,10,,0,,10,,10,,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Student-16,B,80.15571,0,,0,,9,,10,,0,,0,,0,,0,,0,,0,,10,,10,,11,,10,,10,,10,,97,
