Name,Final Grade [Total Pts: 0 Text] |1781927,Weighted Total [Total Pts: up to 255 Percentage] |1753510,Assignment-3_Grid,Assignment-03_CS_x,Assignment-4_Balloon,Assignment-04_CS_x,Assignment-5_Solar,Assignment-05_CS_x,Assignment-7_DrawingBoard,Assignment-07_CS_x,Assignment-8_BouncingBall,Assignment-08_CS_x,Assignment-9_Record,Assignment-09_CS_x,Assignment-10_Javadoc,Assignment-10_CS_x,Assignment-11_Junit,Assignment-11_CS_x,Assignment-12_Counter,Assignment-12_CS_x,Assignment-13_OmokGUI,Assignment-13_CS_x,Assignment-14_MouseEvent,Assignment-14_CS_x,Assignment-15_JavaChatUI,Assignment-15_CS_x,Assignment-16_FactoryMethod,Assignment-16_CS_x,Assignment-17_Generalization,Assignment-17_CS_x,Assignment-18_OmokInfo,Assignment-18_CS_x,Assignment-19_JavaChat,Assignment-19_CS_x,Homework-4_GUIAPP,Homework-4_CS,Assignment-03_CS_y,Assignment-04_CS_y,Assignment-05_CS_y,Assignment-07_CS_y,Assignment-08_CS_y,Assignment-09_CS_y,Assignment-10_CS_y,Assignment-11_CS_y,Assignment-12_CS_y,Assignment-13_CS_y,Assignment-14_CS_y,Assignment-15_CS_y,Assignment-16_CS_y,Assignment-17_CS_y,Assignment-18_CS_y,Assignment-19_CS_y
Student-1,B,86.36142,10,,10,,10,,10,,9,,10,,10,,0,,10,,8,,10,,0,,9,,0,,10,,8,,98,,,,,,,,,,,,,,,,,
Student-2,C,63.24607,10,,0,,0,,6,,0,,9,,0,,7,,10,,8,,10,,8,,9,,0,,10,,10,,86,,,81.0,118.0,53.0,76.0,16.0,11.0,,9.0,12.0,15.0,,54.0,,10.0,32.0
Student-3,A,92.13803,9,,10,,10,,10,,10,,10,,10,,10,,10,,10,,9,,10,,10,,10,,10,,10,,98,,,,,,,,,,,,3.0,42.0,,,,
Student-4,C,65.38839,0,,0,,0,,0,,0,,9,,8,,10,,3,,8,,10,,6,,10,,8,,8,,8,,70,,,50.0,71.0,47.0,28.0,12.0,30.0,56.0,19.0,16.0,15.0,19.0,47.0,48.0,11.0,28.0
Student-5,B,85.105,10,,0,,0,,6,,0,,10,,0,,10,,10,,10,,10,,6,,11,,0,,7,,10,,97,,,,,,,,14.0,,,,,16.0,27.0,42.0,,
Student-6,A,99.52982,10,,0,,10,,10,,0,,0,,10,,2,,10,,8,,10,,10,,0,,10,,10,,10,,100,,,,,89.0,,18.0,,134.0,7.0,9.0,13.0,12.0,27.0,,,32.0
Student-7,B,80.59089,10,,10,,10,,10,,10,,9,,10,,10,,10,,8,,8,,5,,11,,8,,10,,10,,80,,22.0,,60.0,40.0,,,36.0,,7.0,16.0,15.0,9.0,,53.0,12.0,29.0
Student-8,D,54.23589,0,,10,,7,,10,,0,,0,,0,,0,,0,,6,,0,,8,,0,,0,,0,,0,,73,,,,,91.0,56.0,12.0,10.0,39.0,7.0,5.0,18.0,12.0,24.0,42.0,4.0,34.0
Student-9,A,87.44857,10,,10,,10,,10,,9,,0,,10,,5,,10,,10,,10,,10,,11,,8,,10,,10,,85,,,,,,,,,,,,,6.0,,,,
Student-10,B,77.90571,9,,10,,10,,0,,10,,0,,0,,10,,10,,0,,10,,10,,11,,10,,10,,10,,95,,,26.0,70.0,52.0,62.0,5.0,11.0,34.0,9.0,18.0,20.0,19.0,23.0,64.0,11.0,38.0
