student,Total,MissingJavadoc,SingleClassImport,,unused,ChainedMethodCall,WrongPackageStatement,UtilityClass,MethodWithMultipleLoops,EmptyMethod
7,22,6,5,5,1,1,1,1,1,0
14,20,7,5,2,2,1,1,1,1,0
21,18,5,5,2,2,1,1,1,1,0
23,13,6,0,2,2,1,1,1,0,0
24,17,5,5,2,2,1,1,1,0,0
27,18,6,5,2,2,1,1,1,0,0
28,15,4,4,2,1,1,1,1,0,0
29,18,5,5,2,2,1,1,1,1,0
30,18,6,1,2,2,1,1,1,1,0
32,19,5,5,2,2,1,1,1,1,0
33,18,6,5,2,2,1,1,1,0,0
34,15,6,1,2,2,1,1,1,1,0
35,25,6,5,2,2,1,1,1,0,0
38,15,6,1,2,2,1,1,1,1,0
40,19,6,5,2,2,1,1,1,1,0
41,13,7,0,2,1,1,1,1,0,0
42,81,22,28,3,5,5,2,1,1,4
44,68,19,23,2,5,4,1,1,0,4
37,19,6,6,0,0,0,3,2,1,0
