student,Total,MissingJavadoc,SingleClassImport,unused,,WrongPackageStatement,ChainedMethodCall,CanBeFinal,UNUSED_IMPORT,UtilityClass
2,81,25,24,6,4,3,6,4,1,1
4,50,14,10,6,3,2,2,0,6,1
10,26,9,2,5,3,2,2,1,1,1
11,25,6,2,1,2,1,0,4,0,1
12,39,16,4,5,3,2,2,1,0,1
13,34,16,4,5,3,2,2,1,0,1
14,29,11,2,6,3,2,1,2,1,1
21,22,9,0,5,2,2,2,1,1,0
22,45,12,16,8,2,2,2,0,0,0
23,34,14,2,10,2,2,2,2,0,0
24,27,9,2,6,2,2,2,1,3,0
28,35,10,6,8,2,2,2,2,3,0
41,26,12,0,5,2,2,2,2,1,0
45,33,8,9,5,2,2,2,1,3,0
20,23,10,0,0,0,6,0,4,0,3
31,16,5,2,0,0,1,0,1,0,1
