student,Total,MissingJavadoc,CanBeFinal,unused,SingleClassImport,FieldMayBeFinal,WrongPackageStatement,ChainedMethodCall,UNUSED_IMPORT,FieldCanBeLocal
2,118,20,16,8,31,16,3,6,1,5
4,71,22,9,18,5,9,4,1,0,0
7,60,21,12,7,3,7,1,1,2,0
10,70,13,10,14,12,10,4,1,1,2
11,80,24,8,4,3,3,5,24,0,1
12,65,2,5,2,26,5,3,0,12,0
13,106,23,18,20,6,18,4,1,1,1
14,63,0,18,5,7,18,1,4,0,3
20,53,2,12,11,2,12,1,1,0,5
21,55,3,12,15,2,10,1,1,0,1
23,42,15,0,12,4,0,4,1,0,0
24,50,3,10,11,2,7,1,1,0,4
27,162,35,12,23,36,12,6,6,9,0
28,34,2,6,7,4,6,1,1,0,0
29,101,14,11,14,22,10,5,1,9,7
31,29,5,0,4,2,0,1,0,0,0
32,41,2,11,5,3,10,1,1,2,1
33,23,2,6,3,2,5,1,2,0,0
34,34,2,5,8,8,5,1,1,2,0
38,64,12,14,11,1,14,4,1,0,2
40,43,2,9,9,3,9,1,1,1,3
41,60,19,22,13,0,0,4,1,0,0
42,137,29,12,10,40,12,6,5,8,0
25,34,2,12,7,4,0,1,0,3,0
44,5,2,0,0,0,0,1,1,0,0
