student,Total,MissingJavadoc,unused,SingleClassImport,CanBeFinal,WrongPackageStatement,FieldMayBeFinal,SameParameterValue,UNUSED_IMPORT,ChainedMethodCall
2,53,4,2,1,12,1,12,17,1,1
4,47,14,13,7,3,5,3,0,0,1
6,89,26,12,24,5,3,2,0,1,5
7,40,10,12,3,5,1,1,0,3,1
8,91,27,6,15,5,6,5,9,4,5
10,52,14,13,13,3,5,0,0,0,1
12,80,19,9,22,3,5,3,0,12,1
14,24,3,6,6,1,1,0,0,0,1
18,51,16,13,12,3,5,0,0,0,1
20,108,33,7,27,3,6,3,0,6,5
21,49,15,15,4,3,5,3,0,2,1
22,48,19,13,5,3,5,0,1,0,1
24,43,11,14,1,5,5,4,0,0,1
27,64,11,9,24,0,5,0,0,13,1
28,36,5,8,1,4,1,4,9,0,1
29,49,13,13,10,3,5,3,0,0,1
30,42,16,12,1,2,4,2,0,0,1
32,50,3,14,3,12,1,9,0,2,1
33,20,3,6,4,3,1,0,0,0,1
34,21,6,7,2,0,2,0,0,2,1
35,57,19,13,14,1,5,1,0,0,1
37,45,14,13,4,3,5,3,0,0,1
38,56,16,13,4,6,5,6,0,2,1
40,43,12,5,4,4,1,2,9,2,1
41,49,17,19,0,3,5,0,0,0,1
42,115,25,16,36,8,6,8,0,1,5
44,49,3,14,2,12,1,9,0,2,1
45,98,19,33,3,3,5,3,15,1,3
17,13,4,0,1,5,1,0,0,0,0
25,27,9,12,0,3,2,0,0,0,0
