student,Total,unused,MissingJavadoc,SingleClassImport,CanBeFinal,WrongPackageStatement,FieldMayBeFinal,UNUSED_IMPORT,UnnecessaryModifier,ChainedMethodCall
2,76,35,3,7,6,4,6,1,0,2
4,28,5,3,10,3,2,1,0,0,1
8,56,10,11,4,5,5,2,1,6,2
10,62,16,13,9,3,4,6,2,1,1
11,45,5,14,7,2,5,0,3,0,0
12,43,1,2,16,2,3,2,5,0,0
14,110,27,23,23,7,5,3,7,6,2
16,14,2,3,2,2,1,2,0,0,1
17,32,5,8,1,5,1,3,0,1,0
20,40,7,20,0,0,4,0,1,1,1
21,85,30,30,4,5,4,2,1,0,2
22,43,9,8,7,4,2,3,0,0,2
23,65,18,22,4,5,4,5,1,0,1
24,108,35,23,8,7,5,6,2,7,2
27,76,17,21,13,3,4,2,7,0,1
28,24,7,0,3,5,1,5,0,1,1
29,64,19,20,9,3,4,2,0,0,1
31,25,6,1,2,1,1,2,0,0,1
32,35,7,4,7,2,1,1,5,0,1
33,21,8,1,2,2,1,0,0,1,1
34,54,17,6,10,3,4,3,4,0,1
38,79,32,17,4,6,4,4,1,6,1
40,53,16,14,5,4,3,0,4,0,1
41,39,16,10,1,6,3,0,0,0,1
42,128,18,33,41,7,6,3,3,0,6
13,95,31,37,0,9,5,3,0,5,0
45,30,16,5,0,1,2,1,1,0,0
