student,Total,MissingJavadoc,WrongPackageStatement,unused,MultipleReturnPointsPerMethod,CanBeFinal,SingleClassImport,FieldMayBeFinal,,UtilityClass
2,16,6,1,2,1,2,0,2,1,0
6,18,7,3,1,1,0,1,0,1,0
8,12,3,1,1,1,0,0,0,1,1
11,34,2,1,8,0,5,8,5,1,0
16,12,6,1,1,1,0,0,0,1,1
18,8,3,2,1,0,0,0,0,1,1
29,21,7,2,3,1,2,1,2,1,1
30,20,9,2,4,1,0,0,0,1,1
31,15,5,1,1,1,0,0,0,1,0
32,12,6,1,1,1,0,1,0,1,0
41,12,4,2,1,1,2,0,0,1,1
42,17,6,2,1,1,2,0,2,1,1
44,11,6,1,1,1,0,0,0,1,0
13,13,6,1,3,1,2,0,0,0,0
14,17,5,1,0,1,2,0,2,0,0
21,12,4,1,0,1,2,0,2,0,0
24,18,6,1,0,1,2,0,2,0,0
40,13,4,1,0,1,2,1,2,0,1
4,12,6,1,0,1,0,0,0,0,1
10,5,2,1,1,0,0,0,0,0,0
12,7,3,2,0,0,0,0,0,0,1
20,12,5,1,0,1,0,1,0,0,0
22,22,8,2,0,1,0,3,0,0,1
23,8,5,1,0,1,0,0,0,0,0
25,15,6,2,0,1,0,1,0,0,1
27,8,5,1,0,1,0,0,0,0,0
33,11,4,1,0,1,0,1,0,0,1
34,8,1,1,4,1,0,0,0,0,0
35,14,7,1,4,1,0,0,0,0,0
38,11,4,1,3,1,0,1,0,0,0
45,10,5,1,0,1,0,1,0,0,0
