student,Total,unused,JavadocDeclaration,MethodWithMultipleLoops,MissingJavadoc,MultipleReturnPointsPerMethod,CanBeFinal,WrongPackageStatement,SingleClassImport,FieldMayBeFinal
2,11,4,0,2,0,0,2,1,0,2
4,30,7,5,4,0,4,2,1,1,2
5,14,4,0,0,0,0,2,1,0,2
7,36,9,12,0,5,1,2,1,1,1
10,11,5,0,3,0,0,2,1,0,0
12,24,9,0,1,0,1,2,1,0,2
15,8,3,0,1,0,0,1,1,0,1
22,52,2,0,5,5,5,5,4,8,2
31,8,1,2,1,0,0,2,1,1,0
32,15,10,1,1,0,0,1,1,1,0
33,49,9,0,5,6,5,5,4,1,2
37,34,6,0,3,8,4,1,1,0,0
40,30,16,2,0,0,2,1,1,4,0
42,31,11,7,2,0,3,2,1,0,2
45,10,5,0,2,0,0,1,1,0,0
20,11,7,0,1,0,1,0,1,1,0
29,27,7,2,2,7,2,0,1,1,0
30,15,8,1,2,3,0,0,1,0,0
34,26,5,12,3,0,1,0,1,0,0
38,20,11,0,2,0,3,0,1,0,0
8,10,7,0,0,2,0,0,1,0,0
