student,Total,unused,SingleClassImport,MissingJavadoc,WrongPackageStatement,UNUSED_IMPORT,ChainedMethodCall,CanBeFinal,EmptyMethod,MultipleReturnPointsPerMethod
4,56,28,9,13,2,0,0,1,0,0
6,134,8,18,38,9,6,1,2,0,4
10,34,11,7,9,2,0,0,3,0,0
11,12,9,1,0,1,0,0,1,0,0
12,39,10,11,9,2,2,0,3,0,1
13,69,19,11,13,3,2,0,4,0,2
15,218,44,28,51,8,1,19,3,0,12
20,38,9,11,7,2,2,0,3,0,0
24,46,19,9,9,2,0,0,1,2,0
38,15,6,4,0,1,0,0,0,0,0
40,49,14,14,7,2,8,0,0,0,0
8,39,17,11,4,2,2,0,0,3,0
25,11,2,5,3,1,0,0,0,0,0
30,14,4,5,3,1,0,0,0,1,0
32,21,7,8,3,1,1,0,0,0,0
37,22,6,9,3,2,1,0,0,0,0
44,35,13,8,12,1,1,0,0,0,0
45,47,20,3,9,2,1,0,0,10,0
21,22,11,7,0,1,0,0,0,2,0
22,13,8,4,0,1,0,0,0,0,0
23,22,10,9,0,1,2,0,0,0,0
28,12,7,2,0,1,1,0,0,1,0
29,26,11,4,0,1,0,4,0,0,0
33,14,8,5,0,1,0,0,0,0,0
34,9,3,5,0,1,0,0,0,0,0
