student,Total,MissingJavadoc,SingleClassImport,ChainedMethodCall,WrongPackageStatement,FeatureEnvy,unused,UNUSED_IMPORT,CanBeFinal,FieldMayBeFinal
2,9,4,1,0,1,0,0,0,0,0
4,19,3,6,4,1,0,0,0,2,2
6,7,3,1,1,1,1,0,0,0,0
7,7,3,1,1,1,1,0,0,0,0
8,7,3,1,1,1,1,0,0,0,0
10,9,3,1,1,1,1,0,0,0,0
11,21,6,1,3,3,1,0,0,5,1
12,9,3,3,1,1,1,0,0,0,0
13,7,3,1,1,1,0,0,0,0,0
14,10,2,4,0,1,1,2,0,0,0
16,21,3,4,1,1,1,1,8,0,0
20,13,6,0,3,2,2,0,0,0,0
21,6,2,1,1,1,1,0,0,0,0
22,76,20,28,5,2,1,4,2,2,2
23,7,3,1,1,1,1,0,0,0,0
24,7,3,1,1,1,1,0,0,0,0
25,9,3,0,0,1,0,3,0,0,0
26,7,3,1,1,1,1,0,0,0,0
27,6,3,0,1,1,0,0,0,0,0
28,7,3,1,1,1,1,0,0,0,0
29,10,3,4,1,1,1,0,0,0,0
30,20,6,1,1,2,0,6,0,0,0
31,21,3,2,0,1,0,0,2,5,5
33,7,3,1,1,1,1,0,0,0,0
34,6,3,0,1,1,1,0,0,0,0
35,10,3,3,1,1,0,0,1,0,0
37,13,3,5,1,1,1,0,2,0,0
41,8,4,1,1,1,0,0,0,0,0
42,7,3,1,1,1,1,0,0,0,0
44,12,6,0,2,2,2,0,0,0,0
45,7,3,1,1,1,1,0,0,0,0
