student,Total,MissingJavadoc,SingleClassImport,WrongPackageStatement,CanBeFinal,UtilityClass,InstantiationOfUtilityClass,UNUSED_IMPORT,Convert2Lambda,NonCommentSourceStatements
2,12,3,1,1,0,0,0,0,3,1
12,21,7,0,4,0,1,0,0,0,1
14,22,3,8,1,0,1,1,1,0,1
33,11,3,0,1,3,0,0,1,0,1
4,16,3,9,1,0,1,1,0,1,0
13,7,3,2,1,0,0,0,0,1,0
22,19,3,10,1,0,1,1,1,1,0
25,19,3,12,1,0,1,1,0,1,0
31,15,0,2,1,5,1,0,0,1,0
44,8,3,2,1,0,0,0,0,1,0
6,9,3,1,1,0,1,1,0,0,0
7,16,3,3,1,1,0,0,3,0,0
8,5,3,0,1,0,0,0,0,0,0
10,18,3,9,1,0,1,1,2,0,1
20,17,4,4,2,3,1,0,2,0,0
21,5,2,0,1,0,1,1,0,0,0
23,6,3,2,1,0,0,0,0,0,0
24,9,3,0,1,4,0,0,0,0,1
27,13,3,2,1,3,0,0,0,0,0
28,10,5,1,1,0,0,0,0,0,0
29,14,3,9,1,0,0,0,0,0,1
30,17,8,0,2,4,1,1,0,0,0
32,5,3,0,1,0,0,0,0,0,0
34,7,3,0,1,0,1,1,0,0,1
40,6,3,0,1,0,1,1,0,0,0
41,7,3,0,1,0,1,1,0,0,1
45,6,3,0,1,0,1,1,0,0,0
