student,Total,SingleClassImport,MissingJavadoc,AnonymousClassMethodCount,WrongPackageStatement,CanBeFinal,ChainedMethodCall,UNUSED_IMPORT,FeatureEnvy,unused
2,15,1,4,3,1,0,0,0,0,0
41,13,3,4,1,1,0,1,0,0,0
4,15,10,3,1,1,0,0,0,0,0
6,13,4,3,2,1,0,1,1,1,0
7,15,2,3,3,1,0,1,0,1,2
8,18,3,3,3,1,3,1,0,1,0
10,20,5,3,1,1,0,1,3,1,0
11,25,3,6,1,3,6,3,0,1,0
12,13,6,3,1,1,0,1,0,1,0
13,10,3,3,1,1,0,0,1,0,0
14,15,5,2,3,1,0,0,1,1,2
18,22,11,3,1,1,1,0,0,0,1
21,12,4,2,1,1,0,1,0,1,1
22,19,8,3,1,1,0,1,3,1,0
25,8,0,3,1,1,1,0,0,0,0
28,10,3,3,1,1,0,1,0,1,0
29,16,7,3,3,1,0,1,0,1,0
30,23,3,6,1,2,0,1,0,0,6
32,11,2,3,1,1,1,1,0,1,0
33,13,3,3,1,1,1,0,1,0,0
34,12,3,3,1,1,0,0,1,0,0
35,9,2,3,1,1,0,0,0,0,0
37,17,8,3,1,1,0,1,2,1,0
40,9,2,3,1,1,0,1,0,1,0
44,9,2,3,1,1,0,1,0,1,0
20,15,3,4,0,1,2,1,1,0,1
27,16,4,3,0,1,1,0,2,1,0
31,13,3,3,0,1,3,0,1,0,0
42,14,3,3,0,1,1,1,0,1,0
45,10,3,3,0,1,0,0,1,0,0
3,3,0,0,0,0,3,0,0,0,0
