student,Total,MissingJavadoc,unused,SingleClassImport,WrongPackageStatement,CanBeFinal,,ChainedMethodCall,FieldMayBeFinal,UtilityClass
2,54,19,7,1,5,0,4,2,0,3
4,47,19,7,1,5,0,4,2,0,3
5,27,10,3,0,4,4,1,2,1,0
6,27,10,3,0,4,4,1,2,1,0
8,24,9,5,1,2,0,2,2,0,0
10,23,4,9,3,4,1,1,0,0,0
11,34,12,2,2,3,6,2,0,4,0
13,50,22,11,4,7,1,2,0,0,2
14,58,19,11,9,5,5,2,2,0,0
18,70,22,12,17,5,1,4,4,0,0
20,35,15,1,4,6,1,1,0,1,1
21,35,11,7,8,2,1,2,2,0,0
22,52,13,8,10,5,0,2,0,0,2
23,52,22,16,3,5,2,2,0,0,2
24,52,12,10,8,4,5,2,2,5,2
27,48,12,10,8,4,5,2,2,5,0
28,17,5,4,4,1,1,1,0,0,0
29,67,18,11,14,5,5,2,2,0,0
32,30,6,12,0,2,3,1,1,2,0
33,69,22,12,16,5,1,4,4,0,0
35,50,18,12,4,5,1,2,0,0,1
45,30,6,9,1,5,1,4,4,0,0
12,52,20,10,4,5,2,0,0,0,0
31,16,5,0,2,1,1,0,0,1,1
34,51,20,20,0,5,5,0,0,0,0
40,35,15,12,0,5,0,0,0,0,0
