student,Total,MissingJavadoc,unused,SingleClassImport,WrongPackageStatement,CanBeFinal,,ChainedMethodCall,MethodWithMultipleLoops,EmptyMethod
4,48,17,10,8,6,2,1,0,1,0
5,42,13,6,7,3,3,1,1,0,0
7,53,17,18,3,3,0,2,2,2,2
8,42,14,9,3,6,2,2,2,1,0
10,64,16,21,10,7,1,1,0,2,0
11,23,9,3,3,3,1,2,0,1,0
12,46,14,6,9,6,3,1,1,2,0
13,42,16,13,1,4,1,1,0,2,1
18,92,28,25,16,6,5,1,1,1,0
20,101,31,10,24,7,5,2,5,1,3
21,63,15,19,11,3,1,2,2,1,1
22,16,0,4,2,1,1,2,2,2,0
23,101,32,12,24,8,3,2,6,2,2
24,57,17,21,2,3,1,1,1,1,1
27,53,22,18,0,6,1,1,1,2,1
29,41,12,14,5,3,2,1,1,1,1
31,57,12,24,2,3,3,1,1,1,4
33,34,5,7,3,1,5,1,1,1,0
34,58,19,19,2,6,3,1,1,1,0
35,68,27,19,8,6,4,1,0,2,0
40,53,20,18,1,6,1,1,1,1,0
41,36,12,8,1,3,3,2,0,2,1
45,38,13,13,2,5,0,1,1,0,1
