student,Total,SingleClassImport,MissingJavadoc,WrongPackageStatement,UtilityClass,UNUSED_IMPORT,StringBufferReplaceableByStringBuilder,TryWithIdenticalCatches,UnnecessaryToStringCall,ChainedMethodCall
2,10,5,2,1,1,0,0,1,0,0
4,11,5,2,1,1,0,1,0,1,0
7,12,3,3,1,0,2,0,0,0,0
8,4,0,2,1,1,0,0,0,0,0
10,11,5,2,1,1,0,0,1,0,0
11,15,8,2,1,1,2,0,1,0,0
12,11,5,2,1,1,0,1,0,1,0
14,9,5,2,1,1,0,0,0,0,0
15,11,3,3,1,1,0,0,0,1,0
18,8,3,2,1,1,0,0,0,0,0
20,11,5,3,1,1,1,0,0,0,0
21,4,0,2,1,1,0,0,0,0,0
22,9,4,2,1,1,0,0,0,0,0
23,10,6,2,1,1,0,0,0,0,0
24,11,7,1,1,1,1,0,0,0,0
29,13,5,3,1,0,0,0,0,0,3
32,10,4,2,1,1,0,1,0,1,0
33,9,5,2,1,1,0,0,0,0,0
34,4,0,2,1,1,0,0,0,0,0
37,20,9,2,1,1,6,1,0,0,0
40,9,5,2,1,1,0,0,0,0,0
41,10,5,2,1,1,0,0,1,0,0
42,12,7,2,1,1,0,0,1,0,0
44,10,4,2,1,1,0,1,0,1,0
31,3,1,0,1,1,0,0,0,0,0
