student,Total,SingleClassImport,unused,MissingJavadoc,UNUSED_IMPORT,,WrongPackageStatement,ChainedMethodCall,FieldCanBeLocal,AutoCloseableResource
2,32,20,3,2,2,1,1,0,3,0
4,28,20,2,2,0,1,1,0,0,1
6,32,11,2,3,0,2,2,3,0,1
7,29,19,2,2,0,1,1,2,0,1
8,34,15,2,2,5,1,1,0,1,0
10,38,21,3,2,3,1,1,0,2,2
11,32,20,3,2,1,1,1,0,0,0
12,43,19,2,3,0,2,2,4,0,2
14,40,27,2,2,4,1,1,1,0,0
15,30,20,3,2,0,1,1,1,0,1
18,38,20,3,2,2,1,1,0,3,0
20,45,17,2,3,1,2,2,5,2,1
21,31,20,3,2,1,1,1,0,0,0
22,18,0,2,5,0,1,1,1,2,0
23,47,18,3,3,6,2,2,2,2,1
31,14,4,4,2,0,1,1,0,1,1
32,38,14,4,3,0,2,2,2,1,1
33,33,20,3,2,1,1,1,1,3,0
34,42,15,4,3,1,2,2,2,1,3
35,33,21,4,2,1,1,1,1,0,0
37,36,21,4,2,4,1,1,0,2,0
40,29,20,3,2,0,1,1,0,1,1
42,14,3,2,2,0,1,1,1,1,0
44,36,20,4,3,3,1,1,0,0,0
45,66,26,7,6,4,3,3,5,0,1
